"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","5.118989","0","3"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","21","1","1","120.414017","0","163"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","21","63","2","1","349.167145","0","913"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","6.647061","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","14","1","1","36.765644","0","92"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","21","54","1","1","269.217010","0","583"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","1","1","21.177313","0","22"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","1","1","22.752991","0","26"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","84","2","2","370.071411","0","757"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","189","5","3","948.139893","0","2486"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","21","126","2","2","574.344788","0","1721"
"/Interchange/gltf/M_Unlit.M_Unlit","21","26","9","6","57.508438","0","104"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","54","1","1","280.986359","0","540"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","138","1","1","810.972595","0","3162"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","126","6","6","562.822510","0","1068"
"/Interchange/gltf/M_Transmission.M_Transmission","21","32","2","2","173.937683","0","207"
"/Interchange/gltf/M_Sheen.M_Sheen","21","126","6","6","670.129639","0","881"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","126","6","6","495.641296","0","893"
"/Interchange/gltf/M_Default.M_Default","21","126","12","6","330.710327","0","781"
